n,mean,sd,min,max
175,10.272254571428572,12.287529460131246,0.16743333333333332,62.28418333333333
175,5.228571428571429,1.3323066654877622,1,7
175,4.977142857142857,1.4815116763936222,1,7
175,6.714285714285714,2.4514999932181865,0,12
175,0.5428571428571428,0.4995893223126384,0,1
175,0.5714285714285714,0.4962916669854651,0,1
175,0.4057142857142857,0.4924387219844597,0,1
175,0.4228571428571429,0.4954306812605761,0,1
175,0.7771428571428571,0.417357391354492,0,1
175,0.6285714285714286,0.48457317904073954,0,1
175,0.9314285714285714,0.2534491136342174,0,1
175,0.6057142857142858,0.4900990148275911,0,1
175,0.3142857142857143,0.4655628512595334,0,1
175,0.4742857142857143,0.5007711622873801,0,1
175,0.4342857142857143,0.49708509941368517,0,1
175,0.6057142857142858,0.4900990148275911,0,1
175,2.7441218940017976e-16,0.9999999999999999,-3.084029034787912,2.076497636968754
175,18.200378285714287,7.896552123319657,7.127383333333333,53.75383333333333
175,-1.1758946990728499e-18,0.7854994298964668,-1.688636315840042,1.7441361179803023
